Sites Name,Region,District,Site Status,Escom,Tank Size,Opening Litres, Litres Dispensed , Closing Litres , Usage in Litres ,Opening Hours,Closing Hours,Hours Run,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage
Maliri,Lilongwe,Lilongwe,Grid,Prepaid,100,600,405,600,405,1375,1560,185,2.2, -   , -   , -   , -   
Chisepo,Lilongwe,Lilongwe,Grid,Prepaid,1000,680,785,1000,465,1279,1429,150,3.1, -   , -   , -   , -   
Malangalanga SHOP,Lilongwe,Lilongwe,Grid,Prepaid,35,22, -   ,22, -   ,803,803, -   ,#DIV/0!, -   , -   , -   , -   
M'buka,Lilongwe,Lilongwe,Grid,Prepaid,600,600, -   ,600, -   ,650,650, -   ,#DIV/0!, -   , -   , -   , -   
Area 49 Mvama,Lilongwe,Lilongwe,Grid,Prepaid,600,600, -   ,600, -   ,16467,16467, -   ,#DIV/0!, -   , -   , -   , -   
Chilinde Parish,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,500,740,360,7201,7320,119,3, -   , -   , -   , -   
Chimutu,Lilongwe,Lilongwe,Grid,Prepaid,1000,300,500,650,150,2896,3089,193,0.8, -   , -   , -   , -   
MCP/UNICEF,Lilongwe,Lilongwe,Grid,Prepaid,600,535, -   ,535, -   ,20127,20127, -   ,#DIV/0!, -   , -   , -   , -   
Maluwa,Lilongwe,Lilongwe,Grid,Prepaid,1000,630,467,750,347,1324,1392,68,5.1, -   , -   , -   , -   
Chawantha,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,373,600,373,1369,1574,205,1.8, -   , -   , -   , -   
Kakoma estate,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,582,1000,582,3174,3397,223,2.6, -   , -   , -   , -   
Nthumbidwa,Lilongwe,Lilongwe,Grid,Prepaid,1000,0, -   , -   , -   ,1718,1718, -   ,#DIV/0!, -   , -   , -   , -   
TECHNICAL  NEW Dg,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000, -   ,1000, -   ,601,648,47,0, -   , -   , -   , -   
Kabungwe,Lilongwe,Mchinji,Grid,Prepaid,1000,620,737,1000,357,1953,2069,116,3.1, -   , -   , -   , -   
Chilinde Mosque,Lilongwe,Lilongwe,Grid,Prepaid,600,600, -   ,600, -   ,386,386, -   ,#DIV/0!, -   , -   , -   , -   
Katete BYPASS,Lilongwe,Lilongwe,Grid,Prepaid,1000,500,500,570,430,9806,9957,151,2.8, -   , -   , -   , -   
Area 25 A,Lilongwe,Lilongwe,Grid,Prepaid,1000,400, -   ,329,71,9702,9709,7,10.1, -   , -   , -   , -   
LINTHIPE 3,Lilongwe,Dedza,Grid,Prepaid,1000,730,500,700,530,8037,8195,158,3.4, -   , -   , -   , -   
Area 49 New Shire,Lilongwe,Lilongwe,Grid,Prepaid,1000,610, -   ,573,37,12179,12194,15,2.5, -   , -   , -   , -   
Chisinga,Lilongwe,Kasungu,Grid,Prepaid,1000,1000, -   ,930,70,8245,8266,21,3.3, -   , -   , -   , -   
NEW GULLIVER,Lilongwe,Lilongwe,Grid,Prepaid,600,600, -   ,596,4,14153,14156,3,1.3, -   , -   , -   , -   
LUMBADZI RESIDENTIAL,Lilongwe,Lilongwe,Grid,Prepaid,1000,500,500,650,350,2513,2622,109,3.2, -   , -   , -   , -   
MALEMBO,Lilongwe,Lilongwe,Grid,Prepaid,1000,820, -   ,750,70,4297,4311,14,5, -   , -   , -   , -   
WAKAWAKA,Lilongwe,Lilongwe,Grid,Prepaid,1000,280,500,570,210,6064,6195,131,1.6, -   , -   , -   , -   
KAFUMU,Lilongwe,Salima,Grid,Prepaid,1000,1000,440,1000,440,3635,3783,148,3, -   , -   , -   , -   
NKHOTA-KOTA NEW,Lilongwe,Nkhotakota,Grid,Prepaid,600,600,400,600,400,15546,15911,365,1.1, -   , -   , -   , -   
KASUNTHA,Lilongwe,Dowa,Grid,Prepaid,1000,700, -   ,551,149,4560,4665,105,1.4, -   , -   , -   , -   
SALIMA SUGAR,Lilongwe,Salima,Grid,Prepaid,500,444, -   ,400,44,32807,32840,33,1.3, -   , -   , -   , -   
GUEST HOUSE AREA 10,Lilongwe,Lilongwe,Grid,Prepaid,60,105,40,70,75,648,677,29,2.6, -   , -   , -   , -   
AREA 47 MTL,Lilongwe,Lilongwe,Grid,Prepaid,500,500, -   ,500, -   ,9705,9706,1,0, -   , -   , -   , -   
BWEMBA,Lilongwe,Lilongwe,Grid,Prepaid,1000,510,1547,1000,1057,5181,5692,511,2.1, -   , -   , -   , -   
AREA 49 BARGDAD,Lilongwe,Lilongwe,Grid,Prepaid,1000,530,1030,570,990,603,1009,406,2.4, -   , -   , -   , -   
AREA10 USAID,Lilongwe,Lilongwe,Grid,Prepaid,1000,780, -   ,771,9,5494,5499,5,1.8, -   , -   , -   , -   
AREA 25 KABWABWA,Lilongwe,Lilongwe,Grid,Prepaid,1000,300,700,580,420,15070,15348,278,1.5, -   , -   , -   , -   
AREA 25 Zibwenze,Lilongwe,Lilongwe,Grid,Prepaid,1000,680, -   ,480,200,7264,7264, -   ,#DIV/0!, -   , -   , -   , -   
AREA 36 LOWER,Lilongwe,Lilongwe,Grid,Prepaid,600,500, -   ,500, -   ,24408,24409,1,0, -   , -   , -   , -   
UPPER BIWI,Lilongwe,Lilongwe,Grid,Prepaid,600,50, -   ,50, -   ,6778,6778, -   ,#DIV/0!, -   , -   , -   , -   
WHITE FALLS,Lilongwe,Lilongwe,Grid,Prepaid,1000,570, -   ,500,70,13966,14011,45,1.6, -   , -   , -   , -   
AREA 13,Lilongwe,Lilongwe,Grid,Prepaid,600,798, -   ,798, -   ,1528,1528, -   ,#DIV/0!, -   , -   , -   , -   
Dedza Township,Lilongwe,Dedza,Grid,Prepaid,1000,1000, -   ,850,150,4600,4697,97,1.5, -   , -   , -   , -   
Area 18 Round About,Lilongwe,Lilongwe,Grid,Prepaid,1000,410,1418,1000,828,13651,14104,453,1.8, -   , -   , -   , -   
Kasungu mapuloti,Lilongwe,Kasungu,Grid,Prepaid,1000,1000,661,1000,661,4518,4816,298,2.2, -   , -   , -   , -   
Mponela,Lilongwe,Ntchisi,Grid,Prepaid,1000,530,1346,1000,876,12058,12434,376,2.3, -   , -   , -   , -   
AREA 38 EXT,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,500,660,440,9365,9584,219,2, -   , -   , -   , -   
AREA 22 A,Lilongwe,Lilongwe,Grid,Prepaid,1000,400, -   ,400, -   ,15001,15001, -   ,#DIV/0!, -   , -   , -   , -   
Nalikule,Lilongwe,Lilongwe,Grid,Prepaid,1000,580,799,500,879,10648,10957,309,2.8, -   , -   , -   , -   
AREA 2,Lilongwe,Lilongwe,Grid,Prepaid,600,502,934,600,836,19667,20008,341,2.5, -   , -   , -   , -   
AREA 47 sector 3,Lilongwe,Lilongwe,Grid,Prepaid,1000,550,500,600,450,12796,13040,244,1.8, -   , -   , -   , -   
Kawale PTC,Lilongwe,Lilongwe,Grid,Prepaid,1000,380, -   ,352,28,13245,13264,19,1.5, -   , -   , -   , -   
Salima MTL 2,Lilongwe,Salima,Grid,Prepaid,2000,620,1000,1500,120,1744,1814,70,1.7, -   , -   , -   , -   
Dubai 2,Lilongwe,Lilongwe,Grid,Prepaid,1000,370,1325,1000,695,13767,14113,346,2, -   , -   , -   , -   
ADL House,Lilongwe,Lilongwe,Grid,Prepaid,1000,620,500,620,500,2542,2720,178,2.8, -   , -   , -   , -   
AREA 43 UPPER,Lilongwe,Lilongwe,Grid,Prepaid,1000,730, -   ,710,20,8337,8364,27,0.7, -   , -   , -   , -   
MCHESI 2,Lilongwe,Lilongwe,Grid,Prepaid,600,371, -   ,371, -   ,16610,16610, -   ,#DIV/0!, -   , -   , -   , -   
AREA 18 Chatuwa,Lilongwe,Lilongwe,Grid,Prepaid,600,600, -   ,598,2,21374,21375,1,2, -   , -   , -   , -   
MOGASA,Lilongwe,Lilongwe,Grid,Prepaid,600,150, -   ,150, -   ,24542,24557,15,0, -   , -   , -   , -   
CHISEKA,Lilongwe,Lilongwe,Grid,Prepaid,1000,400,1397,1000,797,8018,8382,364,2.2, -   , -   , -   , -   
MAGOMERO,Lilongwe,Lilongwe,Grid,Prepaid,1000,550,561,641,470,8236,8514,278,1.7, -   , -   , -   , -   
NDAULA,Lilongwe,Lilongwe,Grid,Prepaid,1000,330,500,570,260,6341,6468,127,2, -   , -   , -   , -   
AREA 47 sector 2,Lilongwe,Lilongwe,Grid,Prepaid,1000,600, -   ,540,60,3519,3575,56,1.1, -   , -   , -   , -   
KAMELA,Lilongwe,Mchinji,Grid,Prepaid,1000,1000, -   ,1000, -   ,4430,4430, -   ,#DIV/0!, -   , -   , -   , -   
TANDANJE,Lilongwe,Ntchisi,Grid,Prepaid,1000,650,870,1000,520,7674,7892,218,2.4, -   , -   , -   , -   
KAPELURA,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000, -   ,730,270,7060,7230,170,1.6, -   , -   , -   , -   
LINDE MOTEL,Lilongwe,Lilongwe,Grid,Prepaid,500,74, -   ,74, -   ,25606,25606, -   ,#DIV/0!, -   , -   , -   , -   
LOZI,Lilongwe,Nkhotakota,Grid,Prepaid,600,600,45,600,45,20156,20173,17,2.6, -   , -   , -   , -   
AREA 47 SECTOR 4,Lilongwe,Lilongwe,Grid,Prepaid,500,400, -   ,400, -   ,12676,12676, -   ,#DIV/0!, -   , -   , -   , -   
Pondomali,Lilongwe,Lilongwe,Grid,Prepaid,1000,810,500,600,710,3345,3639,294,2.4, -   , -   , -   , -   
Area 5 chilambula pagat,Lilongwe,Lilongwe,Grid,Postpaid,600,3, -   ,3, -   ,870,870, -   ,#DIV/0!, -   , -   , -   , -   
Mlale Parish,Lilongwe,Lilongwe,Grid,Prepaid,50,50, -   ,50, -   ,7894,7894, -   ,#DIV/0!, -   , -   , -   , -   
Mchezi,Lilongwe,Lilongwe,Grid,Prepaid,65,200, -   ,200, -   ,164,164, -   ,#DIV/0!, -   , -   , -   , -   
Chitipi TC,Lilongwe,Lilongwe,Grid,Prepaid,600,450,901,600,751,2438,2668,230,3.3, -   , -   , -   , -   
Msakambewa,Lilongwe,Lilongwe,Grid,Prepaid,500,500, -   ,500, -   ,6256,6256, -   ,#DIV/0!, -   , -   , -   , -   
Area 9 Guest House,Lilongwe,Lilongwe,Grid,Postpaid,1000,280,336,576,40,1922,1934,12,3.3, -   , -   , -   , -   
Ntchentche,Lilongwe,Lilongwe,Grid,Prepaid,600,500,921,471,950,17894,18274,380,2.5, -   , -   , -   , -   
Tambalale,Lilongwe,Lilongwe,Grid,Prepaid,1000,280,1161,510,931,31639,31885,246,3.8, -   , -   , -   , -   
Area 43 MTL,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,500,610,490,1683,1928,245,2, -   , -   , -   , -   
Ex Area 24 DG,Lilongwe,Lilongwe,Grid,Prepaid,100,100, -   ,100, -   ,100,100, -   ,#DIV/0!, -   , -   , -   , -   
Mobile Genset,Lilongwe,Lilongwe,Grid,Prepaid,200,65, -   ,65, -   ,2251,2251, -   ,#DIV/0!, -   , -   , -   , -   
Dedza Deport,Lilongwe,Dedza,Grid,Prepaid,1000,830,1403,1000,1233,5955,6217,262,4.7, -   , -   , -   , -   
Chikho Hotel,Lilongwe,Kasungu,Grid,Prepaid,500,500, -   ,500, -   ,25846,25846, -   ,#DIV/0!, -   , -   , -   , -   
SIMBI,Lilongwe,Mchinji,Grid,Prepaid,50,50, -   ,50, -   ,7105,7105, -   ,#DIV/0!, -   , -   , -   , -   
Msundwe DG,Lilongwe,Lilongwe,Grid,Prepaid,50,50, -   ,50, -   ,7396,7396, -   ,#DIV/0!, -   , -   , -   , -   
Chilinde mobile,Lilongwe,Lilongwe,Grid,Prepaid,12,12, -   ,12, -   ,1410,1410, -   ,#DIV/0!, -   , -   , -   , -   
Salima DG (Paratude),Lilongwe,Salima,Grid,Postpaid,250,520,729,558,691,28196,28714,518,1.3, -   , -   , -   , -   
Area 17 Genset,Lilongwe,Lilongwe,Grid,Postpaid,600,120, -   ,120, -   ,2292,2292, -   ,#DIV/0!, -   , -   , -   , -   
Chisapo Mobile,Lilongwe,Lilongwe,Grid,Prepaid,200,200, -   ,200, -   ,200,200, -   ,#DIV/0!, -   , -   , -   , -   
