 Sites Name , site ID , Region , District , Site Status (Grid/Prime) , ESCOM , Tank Size , Opening  Litres , Litres Dispensed , Closing Litres , Usage in Litres , Opening Hours , Closing Hours , Hours Run , Average Usage Per Hour , Opening Readings , Units Bought , Closing Readings , Power Usage 
 Manjawira , TN32008 , South , Balaka , GRID , PREPAID , 600 , 437 , -   , 413 , 413 ," 13,219 "," 13,229 ", 10 , 41 ,, -   , -   , -   
 Ntcheu Peak , TN21012 , South , Ntcheu , GRID , POSTPAID , 600 , 557 , -   , 490 , 490 ," 7,745 "," 7,777 ", 32 , 15 ,, -   , -   , -   
 New Balaka BSC , TN32002 , South , Balaka , GRID , BACK UP DG , 600 , 600 , -   , 555 , 555 ," 3,274 "," 3,281 ", 7 , 79 ,, -   , -   , -   
 Chembera , TN32005 , South , Balaka , GRID , POSTPAID , 600 , 563 , -   , 548 , 548 ," 18,644 "," 18,651 ", 7 , 78 ,, -   , -   , -   
 Nkaya , TN32013 , South , Balaka , OFF GRID  ,, 600 , 850 , -   , 850 , 850 ," 7,803 "," 7,803 ", -   ,#DIV/0!,, -   , -   , -   
 Balaka Macra , TN32003 , South , Balaka , GRID , PREPAID , 600 , 489 , -   , 480 , 480 ," 9,531 "," 9,536 ", 5 , 96 ,, -   , -   , -   
 Balaka Majiga , TN32004 , South , Balaka , GRID , PREPAID , 600 , 400 , 177 , 550 , 550 ," 13,000 "," 13,011 ", 11 , 50 ,, -   , -   , -   
 Khwisa , TN32007 , South , Balaka , GRID , PREPAID , 600 , 655 , -   , 628 , 628 ," 3,635 "," 3,646 ", 11 , 57 ," 3,538 ", -   , -   , -   
 Mphombeya BTS , TN32015 , South , Balaka , GRID  , PREPAID , 600 , 590 , -   , 538 , 538 ," 5,516 "," 5,542 ", 26 , 21 ,, -   , -   , -   
 Ntcheu MTL , TN21011 , South , Ntcheu , GRID , PREPAID AIRTEL , 600 , 882 , -   , 875 , 875 ," 2,406 "," 2,410 ", 4 , 219 ,, -   , -   , -   
 UTALE , TN32019 , South , Balaka , OFFGRID , OFFGRID , 600 , 606 , -   , 606 , 606 ," 28,728 "," 28,728 ", -   ,#DIV/0!,, -   , -   , -   
 BLK Shop , TNMShop , South , Balaka , GRID ,, 600 ,, -   ,,,,, -   ,#DIV/0!,, -   , -   , -   
  MAWIRA new DG , TN33016 , South , Machinga , OFF GRID ,, 800 , 410 , -   , 335 , 335 ," 10,599 "," 10,629 ", 30 , 11 ,, -   , -   , -   
 MANGOCHI ACL , TN34022 , South , Mangochi , GRID , ACCESS ," 1,000 ", 403 , 497 , 590 , 590 ," 3,757 "," 3,861 ", 104 , 6 , access , -   , -   , -   
 MANGOCHI NORTH , TN34025 , South , mangochi , GRID , PREPAID , 600 , 284 , -   , 161 , 161 ," 12,769 "," 12,818 ", 49 , 3 ," 1,638 ", -   , -   , -   
 MANGOCHI AIRPORT , TN34023 , South , Mangochi , GRID , PREPAID , 600 , 392 , -   , 374 , 374 ," 5,970 "," 5,979 ", 9 , 42 ," 3,693 ", -   , -   , -   
 NANSENGA , TN34036 , South , Mangochi , OFF GRID  , PREPAID , 600 , 619 , -   , 582 , 582 ," 33,062 "," 33,078 ", 16 , 36 , B/O , -   , -   , -   
 PALM BEACH , TN34040 , South , Mangochi , GRID , PREPAID , 600 , 490 , 271 , 738 , 738 ," 27,128 "," 27,135 ", 7 , 105 ," 3,827 ", -   , -   , -   
 NAMIYASI , TN34032 , South , Mangochi , GRID , PREPAID , 600 , 565 , -   , 502 , 502 ," 9,506 "," 9,543 ", 37 , 14 ," 4,468 ", -   , -   , -   
 SUN AND SAND , TN34042 , South , Mangochi , GRID , PREPAID , 600 , 685 , 135 , 735 , 735 ," 7,278 "," 7,312 ", 34 , 22 ,, -   , -   , -   
 CHIKOWA , TN34005 , South , Mangochi , GRID , PREPAID ," 1,000 ", 419 , -   , 408 , 408 ," 7,398 "," 7,404 ", 6 , 68 ," 2,652 ", -   , -   , -   
 CHIKOKOBAY , TN34003 , South , Mangochi , GRID , PREPAID , 600 , 576 , -   , 237 , 237 ," 16,861 "," 17,002 ", 141 , 2 ," 2,629 ", -   , -   , -   
 MANZINZIBAY , TN34027 , South , Mangochi , GRID , PREPAID ," 1,000 ", 680 , -   , 659 , 659 ," 7,128 "," 7,140 ", 12 , 55 ," 4,296 ", -   , -   , -   
 CHIKOKO STATE , TN34004 , South , Mangochi , GRID , PREPAID , 300 , 510 , -   , 469 , 469 ," 9,774 "," 9,791 ", 17 , 28 ," 2,594 ", -   , -   , -   
 MONKEY BAY , TN34028 , South , Mangochi , GRID , POSTPAID , 600 , 341 , 305 , 608 , 608 ," 7,698 "," 7,718 ", 20 , 30 , mtl , -   , -   , -   
 NAMBANDE , TN34031 , South , Mangochi , OFF GRID , POSTPAID , 600 , 104 , 724 , 500 , 500 ," 2,125 "," 2,330 ", 205 , 2 ,, -   , -   , -   
 NGAPANI from Mbaluku , TN34037 , South , Mangochi , OFF GRID , POSTPAID ," 1,000 ", 883 , -   , 522 , 522 ," 2,884 "," 2,972 ", 88 , 6 ,, -   , -   , -   
 NAMWERA , TN34033 , South , Mangochi , GRID , PREPAID , 600 , 287 , 333 , 528 , 528 ," 16,668 "," 16,715 ", 47 , 11 ," 4,196 ", -   , -   , -   
 CHIPHOLE , TN34008 , South , Mangochi , OFF GRID  , OFFGRID ," 1,000 ", 920 , -   , 773 , 773 ," 7,153 "," 7,207 ", 54 , 14 ,, -   , -   , -   
 MALEKANO , TN34018 , South , Mangochi , OFF GRID  , PREPAID , 600 , 512 , 448 , 620 , 620 ," 19,988 "," 20,042 ", 54 , 11 ,, -   , -   , -   
