Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,,,,
Malangalanga SHOP,TN20140 ,Lilongwe,Lilongwe,Grid,Prepaid,35,22,0,22,0,803,803,0,#DIV/0!,0,0,0,0,,,,
M'buka,TN20054 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,0,600,0,650,650,0,#DIV/0!,0,0,0,0,,,,
Area 49 Mvama,TN20075 ,Lilongwe,Lilongwe,Grid,Prepaid,600,500,0,500,0,16596,16596,0,#DIV/0!,0,0,0,0,,,,
Chilinde Parish,TN20094 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,880,0,485,395,7549,7571,22, 18.0 ,0,0,0,0,,,,
Chimutu,TN20099 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,0,500,500,3710,3897,187, 2.7 ,0,0,0,0,,,,
MCP/UNICEF,TN20136 ,Lilongwe,Lilongwe,Grid,Prepaid,600,550,0,550,0,20137,20137,0,#DIV/0!,0,0,0,0,,,,
Maluwa,TN23202 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,837,0,380,457,1529,1683,154, 3.0 ,0,0,0,0,,,,
Chawantha,TN28011 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,610,600,610,2312,2764,452, 1.3 ,0,0,0,0,,,,
Kakoma estate,TN23201 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,370,890,690,570,3706,3957,251, 2.3 ,0,0,0,0,,,,
Nthumbidwa,TN17006 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,0,0,0,0,1718,1718,0,#DIV/0!,0,0,0,0,,,,
TECHNICAL  NEW Dg,LLDC003,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,0,1000,0,648,648,0,#DIV/0!,0,0,0,0,,,,
