Sites Name,site ID,Region,District,Site Status (Grid/Prime),ESCOM,Tank Size,Opening  Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,
BLK Shop,TNMShop,South,Balaka,GRID,,600,600,0,600,0,0,0,0,#DIV/0!,600,,,,BLK Shop
 MAWIRA new DG,TN33016,South,Machinga,OFF GRID,,800,460,0,400,60,10638,10667,29, 2.50 ,460,,,, MAWIRA new DG
MANGOCHI ACL,TN34022,South,Mangochi,GRID,ACCESS,1000,424,676,600,500,3944,4167,223, 2.00 ,424,,,,
MANGOCHI NORTH,TN34025,South,mangochi,GRID,PREPAID,600,522,0,319,203,12855,12933,78, 2.63 ,522,,,,MANGOCHI ACL
MANGOCHI AIRPORT,TN34023,South,Mangochi,GRID,PREPAID,600,600,0,490,110,6027,6069,42, 5.24 ,600,,,,MANGOCHI NORTH
NANSENGA,TN34036,South,Mangochi,OFF GRID ,PREPAID,600,455,0,268,187,33133,33214,81, 2.31 ,455,,,,MANGOCHI AIRPORT
PALM BEACH,TN34040,South,Mangochi,GRID,PREPAID,600,642,0,540,102,27172,27211,39, 2.61 ,642,,,,NANSENGA
NAMIYASI,TN34032,South,Mangochi,GRID,PREPAID,600,428,0,384,44,9586,9613,27, 1.72 ,428,,,,PALM BEACH
SUN AND SAND,TN34042,South,Mangochi,GRID,PREPAID,600,622,0,519,103,7355,7396,41, 2.61 ,622,,,,NAMIYASI
CHIKOWA,TN34005,South,Mangochi,GRID,PREPAID,1000,341,0,285,56,7445,7480,35, 1.60 ,341,,,,SUN AND SAND
CHIKOKOBAY,TN34003,South,Mangochi,GRID,PREPAID,600,593,0,521,72,17029,17059,30, 2.40 ,593,,,,CHIKOWA
MANZINZIBAY,TN34027,South,Mangochi,GRID,PREPAID,1000,589,0,521,68,7181,7221,40, 1.70 ,589,,,,CHIKOKOBAY
CHIKOKO STATE,TN34004,South,Mangochi,GRID,PREPAID,300,396,0,271,125,9821,9873,52, 2.43 ,396,,,,MANZINZIBAY
MONKEY BAY,TN34028,South,Mangochi,GRID,POSTPAID,600,425,532,600,357,7814,7975,161, 1.94 ,425,,,,CHIKOKO STATE
NAMBANDE,TN34031,South,Mangochi,OFF GRID,POSTPAID,600,680,613,444,849,2746,2984,238, 3.00 ,680,,,,MONKEY BAY
NGAPANI from Mbaluku,TN34037,South,Mangochi,OFF GRID,POSTPAID,1000,603,736,957,382,3158,3251,93, 4.10 ,603,,,,NAMBANDE
NAMWERA,TN34033,South,Mangochi,GRID,PREPAID,600,192,422,342,272,16883,17019,136, 2.00 ,192,,,,NGAPANI from Mbaluku
CHIPHOLE,TN34008,South,Mangochi,OFF GRID ,OFFGRID,1000,725,0,524,201,7333,7402,69, 3.00 ,725,,,,NAMWERA
MALEKANO,TN34018,South,Mangochi,OFF GRID ,PREPAID,600,388,0,328,60,20143,20170,27, 2.04 ,388,,,,CHIPHOLE
KATULI,TN34012,South,Mangochi,GRID,PREPAID,600,370,238,380,228,10627,10741,114, 2.00 ,370,,,,MALEKANO
NANKHWALI,TN34034,South,Mangochi,OFF GRID,PREPAID,600,449,0,416,33,12610,12621,11, 3.00 ,449,,,,KATULI
NKHUZIBAY,TN34038,South,Mangochi,OFF GRID ,PREPAID,600,710,0,592,118,19321,19368,47, 2.50 ,710,,,,NANKHWALI
CHING'OMBE,TN34007,South,Mangochi,GRID,PREPAID,600,556,0,510,46,29048,29071,23, 2.00 ,556,,,,NKHUZIBAY
NKOPOLA,TN34039,South,Mangochi,GRID,PREPAID,600,393,343,600,136,8856,8899,43, 2.90 ,393,,,,CHING'OMBE
LULANGA,TN34015,South,Mangochi,OFF GRID ,OFFGRID,1000,612,0,228,384,14768,14864,96, 4.00 ,612,,,,NKOPOLA
Nambande Backup Dg,TN34031,South,Mangochi,OFF GRID ,OFFGRID,600,534,0,534,0,9380,9380,0,#DIV/0!,534,,,,LULANGA
Mulibwanji ,TN34029,South,Mangochi,OFF GRID ,OFFGRID,1000,0,0,0,0,0,0,0,#DIV/0!,0,,,,Nambande Backup Dg
MOBILE DG MH,TNMSRMOB02,South,Mangochi,,AT NKHUDZIBAY,600,300,0,300,0,15,15,0,#DIV/0!,300,,,,Mulibwanji 
MH MTL,TN34021,South,Mangochi,GRID ,PREPAID ,1000,1087,0,431,656,9624,9829,205, 3.20 ,1087,,,,MOBILE DG MH
LUGOLA,TN34044,South,Mangochi,OFF GRID ,PREPAID ,1000,818,664,614,868,9207,9517,310, 2.74 ,818,,,,MH MTL
MH KARONGA,TN34052,South,Mangochi,OFF GRID ,PREPAID ,1000,890,0,879,11,16564,16569,5, 2.25 ,890,,,,LUGOLA
LUNGWENA ,TN34045,South,Mangochi,OFF GRID ,PREPAID ,600,1031,884,973,942,7451,7670,219, 4.26 ,1031,,,,MH KARONGA
Mbaluku,TN34047,South,Mangochi,GRID,PREPAID ,600,76,66,44,98,832,881,49, 2.00 ,76,,,,LUNGWENA 
Makunganya,TN34046,South,Mangochi,OFF GRID ,PREPAID ,600,1000,1000,700,1300,10153,10897,744, 1.97 ,1000,,,,Mbaluku
Chembe ,TN34013,South,Mangochi,OFF GRID ,PREPAID ,600,468,0,362,106,27285,27338,53, 2.00 ,468,,,,Makunganya
Majiga 1,TN32021,South,Balaka,OFF GRID ,PREPAID ,600,600,528,606,522,3117,3308,191, 2.97 ,600,,,,Chembe 
Dziwe,TN32022,South,Balaka,OFF GRID ,PREPAID ,1000,790,528,910,408,2510,2621,111, 3.04 ,790,,,,
Chapola,TN31036,South,Balaka,OFF GRID,PREPAID ,600,830,374,790,414,2669,2818,149, 2.50 ,830,,,,Majiga 1
St Therese/Liwonde Hospital,TN33018,South,Machinga,OFF GRID ,PREPAID ,1000,590,0,575,15,3305,3310,5, 2.86 ,590,,,,Dziwe
Dzunje,TN21018,South,Zomba,OFF GRID ,PREPAID ,600,895,0,468.4,426.6,3197,3355,158, 2.97 ,895,,,,Chapola
MPOTOLA,TN31035,South,Machinga,OFF GRID ,PREPAID ,600,600,0,425,175,14882,14958,76, 2.31 ,600,,,,St Therese/Liwonde Hospital
Dzenje,TN45013,South,Zomba,OFF GRID ,PREPAID ,1000,842,0,642,200,1441,1521,80, 2.51 ,842,,,,Dzunje
chingondo,TN31010,South,Zomba,OFF GRID ,PREPAID ,600,581,0,486,95,19819,19860,41, 2.50 ,581,,,,MPOTOLA
Namasalima,TN31033,South,Zomba,OFF GRID ,PREPAID ,600,600,0,600,0,218,218,0,#DIV/0!,600,,,,
Ulumba,TN31034,South,Zomba,OFF GRID ,PREPAID ,600,524,790,986,328,527,661,134, 2.81 ,524,,,,Dzenje
Skinner(former Chanco),TN30028,South,Zomba,OFF GRID ,PREPAID ,600,600,0,595,5,13853,13855,2, 2.64 ,600,,,,chingondo
KOKOLO,TN45014,South,Zomba,OFF GRID ,PREPAID ,1000,700,700,890,510,3564,3733,169, 3.28 ,700,,,,Namasalima
MBANIRA,TN33021,South,Machinga,OFF GRID ,PREPAID ,600,730,0,612,118,6277,6326,49, 2.18 ,730,,,,Ulumba
NANYUMBU,#N/A,South,Machinga,OFF GRID,PREPAID ,,0,0,0,0,0,0,0,#DIV/0!,0,,,,Skinner(former Chanco)
KAWINGA,TN33020,South,Machinga,OFF GRID ,PREPAID ,1000,520,720,444,796,5945,6354,409, 2.11 ,520,,,,KOKOLO
GOSHEN CITY,TN34055,South,Mangochi,OFF GRID ,PREPAID ,1000,1000,0,754,246,3917,4040,123, 2.57 ,1000,,,,MBANIRA
NTCHEU SHOP,TNMShop,South,Ntcheu,GRID,PREPAID ,1000,0,0,0,0,0,0,0,#DIV/0!,0,,,,NANYUMBU
MANGOCHI SHOP,TNMShop,South,Mangochi,GRID,PREPAID ,1000,0,0,0,0,0,0,0,#DIV/0!,0,,,,KAWINGA
LIKUNGWATI OLD DG,TN30009,South,Zomba,GRID,PREPAID ,1000,0,0,0,0,0,0,0,#DIV/0!,0,,,,GOSHEN CITY
KATEMA,TN34014 ,South,Mangochi,GRID,PREPAID ,1000,514,0,514,0,19869,19869,0,#DIV/0!,514,,,,NTCHEU SHOP
NKOPOLA BACKUP DG,TN34039,South,Mangochi,GRID,PREPAID ,1000,520,0,520,0,28622,28622,0,#DIV/0!,520,,,,MANGOCHI SHOP
,,,,,,,,,,,,,,,,,,,LIKUNGWATI OLD DG
,,,,,,,,,,,,,,,,,,,KATEMA
,,,,,,,,,,,,,,,,,,,NKOPOLA BACKUP DG
