Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,,
Area 3 bwaila,TN20044 ,Lilongwe,Lilongwe,Grid,Prepaid,600,515,0,505,10,8642,8646,4, 2.5 ,0,0,0,0,,Area 3 bwaila
Area 3 Police,TN20046 ,Lilongwe,Lilongwe,Grid,Prepaid,600,300,300,300,300,6921,6993,72, 4.2 ,0,0,0,0,,Area 3 Police
MTSILIZA,TN20151 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,510,70,70,510,6061,6203,142, 3.6 ,0,0,0,0,,MTSILIZA
Area 47 ABC,TN20065 ,Lilongwe,Lilongwe,Grid,Prepaid,600,460,1000,450,1010,14490,14850,360, 2.8 ,0,0,0,0,,Area 47 ABC
Area 47 Bwandilo,TN20066 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,620,0,610,10,3213,3217,4, 2.5 ,0,0,0,0,,Area 47 Bwandilo
Area 9,TN20081 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,770,0,720,50,10675,10693,18, 2.8 ,0,0,0,0,,Area 9
Game shop/Site,TNMShop,Lilongwe,Lilongwe,Grid,Prepaid,200,165,100,110,155,1525,1570,45, 3.4 ,0,0,0,0,,Game shop/Site
Kaphatenga,TN27007 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,774,0,600,174,10099,10231,132, 1.3 ,0,0,0,0,,Kaphatenga
Khombedza,TN27009 ,Lilongwe,Salima,Grid,Prepaid,600,600,0,330,270,873,901,28, 9.6 ,0,0,0,0,,Khombedza
Kapiri,TN26022 ,Lilongwe,Lilongwe,Grid,Prepaid,600,510,0,400,110,8566,8575,9, 12.2 ,0,0,0,0,,Kapiri
Sani,TN26012 ,Lilongwe,Nkhotakota,Off Grid,Prepaid,600,600,510,600,510,13576,13780,204, 2.5 ,0,0,0,0,,Sani
